Country Code,Region,IncomeGroup,Country Name,2020,2021,2022,2023
SEN,Sub-Saharan Africa,Lower middle income,Senegal,16436120.0,16876720.0,17316449.0,17763163.0
SGP,East Asia & Pacific,High income,Singapore,5685807.0,5453566.0,5637022.0,5917648.0
SLB,East Asia & Pacific,Lower middle income,Solomon Islands,691191.0,707851.0,724273.0,740424.0
SLE,Sub-Saharan Africa,Low income,Sierra Leone,8233970.0,8420641.0,8605718.0,8791092.0
SLV,Latin America & Caribbean,Upper middle income,El Salvador,6292731.0,6314167.0,6336392.0,6364943.0
SMR,Europe & Central Asia,High income,San Marino,34007.0,33745.0,33660.0,33642.0
SOM,Sub-Saharan Africa,Low income,Somalia,16537016.0,17065581.0,17597511.0,18143378.0
SRB,Europe & Central Asia,Upper middle income,Serbia,6899126.0,6834326.0,6664449.0,6618026.0
SSA,Unknown,Unknown,Sub-Saharan Africa (excluding high income),1151203619.0,1181063755.0,1211070124.0,1241778044.0
SSD,Sub-Saharan Africa,Low income,South Sudan,10606227.0,10748272.0,10913164.0,11088796.0
SSF,Unknown,Unknown,Sub-Saharan Africa,1151302081.0,1181163013.0,1211190002.0,1241897817.0
SST,Unknown,Unknown,Small states,19526038.0,19674424.0,19881389.0,20086203.0
STP,Sub-Saharan Africa,Lower middle income,Sao Tome and Principe,218641.0,223107.0,227380.0,231856.0
SUR,Latin America & Caribbean,Upper middle income,Suriname,607065.0,612985.0,618040.0,623236.0
SVK,Europe & Central Asia,High income,Slovak Republic,5458827.0,5447247.0,5431752.0,5426740.0
SVN,Europe & Central Asia,High income,Slovenia,2102419.0,2108079.0,2111986.0,2120937.0
SWE,Europe & Central Asia,High income,Sweden,10353442.0,10415811.0,10486941.0,10536632.0
SWZ,Sub-Saharan Africa,Lower middle income,Eswatini,1180655.0,1192271.0,1201670.0,1210822.0
SXM,Latin America & Caribbean,High income,Sint Maarten (Dutch part),40350.0,40708.0,40888.0,41163.0
SYC,Sub-Saharan Africa,High income,Seychelles,98462.0,99258.0,119878.0,119773.0
SYR,Middle East & North Africa,Low income,Syrian Arab Republic,20772595.0,21324367.0,22125249.0,23227014.0
TCA,Latin America & Caribbean,High income,Turks and Caicos Islands,44276.0,45114.0,45703.0,46062.0
TCD,Sub-Saharan Africa,Low income,Chad,16644701.0,17179740.0,17723315.0,18278568.0
TEA,Unknown,Unknown,East Asia & Pacific (IDA & IBRD countries),2090523535.0,2097669023.0,2103055378.0,2107522258.0
TEC,Unknown,Unknown,Europe & Central Asia (IDA & IBRD countries),462304330.0,463035774.0,457342249.0,457326090.0
TGO,Sub-Saharan Africa,Low income,Togo,8442580.0,8644829.0,8848699.0,9053799.0
THA,East Asia & Pacific,Upper middle income,Thailand,71475664.0,71601103.0,71697030.0,71801279.0
TJK,Europe & Central Asia,Lower middle income,Tajikistan,9543207.0,9750064.0,9952787.0,10143543.0
TKM,Europe & Central Asia,Upper middle income,Turkmenistan,6250438.0,6341855.0,6430770.0,6516100.0
TLA,Unknown,Unknown,Latin America & the Caribbean (IDA & IBRD countries),634961078.0,639469895.0,643884393.0,648763330.0
TLS,East Asia & Pacific,Lower middle income,Timor-Leste,1299995.0,1320942.0,1341296.0,1360596.0
TMN,Unknown,Unknown,Middle East & North Africa (IDA & IBRD countries),407006855.0,413124452.0,419284769.0,425691336.0
TON,East Asia & Pacific,Upper middle income,Tonga,105254.0,106017.0,106858.0,107773.0
TSA,Unknown,Unknown,South Asia (IDA & IBRD),1882531620.0,1901911604.0,1919348000.0,1938549529.0
TSS,Unknown,Unknown,Sub-Saharan Africa (IDA & IBRD countries),1151302081.0,1181163013.0,1211190002.0,1241897817.0
TTO,Latin America & Caribbean,High income,Trinidad and Tobago,1518147.0,1525663.0,1531044.0,1534937.0
TUN,Middle East & North Africa,Lower middle income,Tunisia,12161723.0,12262946.0,12356117.0,12458223.0
TUR,Europe & Central Asia,Upper middle income,Turkiye,83384680.0,84147318.0,84979913.0,85326000.0
TUV,East Asia & Pacific,Upper middle income,Tuvalu,11069.0,11204.0,11312.0,11396.0
TZA,Sub-Saharan Africa,Lower middle income,Tanzania,61704518.0,63588334.0,65497748.0,67438106.0
UGA,Sub-Saharan Africa,Low income,Uganda,44404611.0,45853778.0,47249585.0,48582334.0
UKR,Europe & Central Asia,Upper middle income,Ukraine,44207754.0,43848986.0,38000000.0,37000000.0
UMC,Unknown,Unknown,Upper middle income,2787915973.0,2799436415.0,2803249752.0,2810588102.0
URY,Latin America & Caribbean,High income,Uruguay,3429086.0,3426260.0,3422794.0,3423108.0
USA,North America,High income,United States,331526933.0,332048977.0,333271411.0,334914895.0
UZB,Europe & Central Asia,Lower middle income,Uzbekistan,34232050.0,34915100.0,35648100.0,36412350.0
VCT,Latin America & Caribbean,Upper middle income,St. Vincent and the Grenadines,104632.0,104332.0,103948.0,103698.0
VEN,Latin America & Caribbean,Unknown,"Venezuela, RB",28490453.0,28199867.0,28301696.0,28838499.0
VGB,Latin America & Caribbean,High income,British Virgin Islands,30910.0,31122.0,31305.0,31538.0
VIR,Latin America & Caribbean,High income,Virgin Islands (U.S.),106290.0,105870.0,105413.0,104917.0
VNM,East Asia & Pacific,Lower middle income,Viet Nam,96648685.0,97468029.0,98186856.0,98858950.0
VUT,East Asia & Pacific,Lower middle income,Vanuatu,311685.0,319137.0,326740.0,334506.0
WLD,Unknown,Unknown,World,7821271846.0,7888963821.0,7951595433.0,8024997028.0
WSM,East Asia & Pacific,Lower middle income,Samoa,214929.0,218764.0,222382.0,225681.0
XKX,Europe & Central Asia,Upper middle income,Kosovo,1790133.0,1786038.0,1768086.0,1756374.0
YEM,Middle East & North Africa,Low income,"Yemen, Rep.",32284046.0,32981641.0,33696614.0,34449825.0
ZAF,Sub-Saharan Africa,Upper middle income,South Africa,58801927.0,59392255.0,59893885.0,60414495.0
ZMB,Sub-Saharan Africa,Lower middle income,Zambia,18927715.0,19473125.0,20017675.0,20569737.0
ZWE,Sub-Saharan Africa,Lower middle income,Zimbabwe,15669666.0,15993524.0,16320537.0,16665409.0
